zipcode,type,count
10004,Salads,11
10004,Sandwiches,36
10004,Sandwiches/Salads/Mixed Buffet,68
10004,Scandinavian,11
10004,Seafood,15
10004,Soups & Sandwiches,5
10004,Steak,11
10004,Thai,12
10005,American,187
10005,Armenian,7
10005,Caf̩/Coffee/Tea,47
10005,Chinese,6
10005,Chinese/Japanese,18
10005,Delicatessen,13
10005,Donuts,9
10005,English,6
10005,French,10
10005,Greek,2
10005,Hawaiian,7
10005,Indian,3
10005,Irish,32
10005,Italian,30
10005,Japanese,10
10005,Jewish/Kosher,1
10005,"Juice, Smoothies, Fruit Salads",8
10005,Mexican,3
10005,Other,2
10005,Pizza,24
10005,Salads,10
10005,Sandwiches/Salads/Mixed Buffet,29
10005,Soups & Sandwiches,5
10005,Vietnamese/Cambodian/Malaysia,18
10006,American,145
10006,Asian,18
10006,Caf̩/Coffee/Tea,13
10006,Chicken,21
10006,Chinese,16
10006,Donuts,7
10006,Eastern European,4
10006,Greek,9
10006,Hamburgers,3
10006,Indian,12
10006,Irish,9
10006,Jewish/Kosher,9
10006,Mexican,5
10006,Other,3
10006,Pizza,13
10006,Sandwiches,25
10006,Sandwiches/Salads/Mixed Buffet,6
10006,Steak,7
10007,American,334
10007,Asian,6
10007,Bagels/Pretzels,7
10007,Bakery,7
10007,Bangladeshi,17
10007,Caf̩/Coffee/Tea,80
10007,Chicken,20
10007,Chinese,11
10007,Delicatessen,38
10007,Donuts,36
10007,French,12
10007,"Ice Cream, Gelato, Yogurt, Ices",2
10007,Indian,30
10007,Irish,14
10007,Italian,38
10007,Japanese,42
10007,"Juice, Smoothies, Fruit Salads",15
10007,Korean,8
10007,Mediterranean,9
10007,Mexican,16
10007,Middle Eastern,14
10007,Other,1
10007,Pizza,51
10007,Pizza/Italian,6
10007,Sandwiches,30
10007,Sandwiches/Salads/Mixed Buffet,43
10007,Soups & Sandwiches,11
10007,Spanish,14
10007,Steak,13
10007,Tex-Mex,26
10007,Vegetarian,13
10009,American,788
10009,Asian,57
10009,Australian,8
10009,Bagels/Pretzels,11
10009,Bakery,23
10009,"Bottled beverages, including water, sodas, juices, etc.",32
10009,Brazilian,18
10009,Caf̩/Coffee/Tea,105
10009,Caribbean,14
10009,Chicken,26
10009,Chinese,85
10009,Continental,4
10009,Delicatessen,4
10009,Donuts,28
10009,Eastern European,21
10009,Ethiopian,10
10009,French,68
10009,German,21
10009,Greek,15
10009,Hamburgers,28
10009,"Ice Cream, Gelato, Yogurt, Ices",3
10009,Indian,6
10009,Irish,42
10009,Italian,73
10009,Japanese,134
10009,"Juice, Smoothies, Fruit Salads",21
10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",108
10009,Mediterranean,41
10009,Mexican,71
10009,Middle Eastern,37
10009,Moroccan,4
10009,Other,12
10009,Pizza,92
10009,Pizza/Italian,16
10009,Portuguese,3
10009,Russian,14
10009,Sandwiches,36
10009,Sandwiches/Salads/Mixed Buffet,7
10009,Seafood,14
10009,Soul Food,8
10009,Spanish,45
10009,Tapas,27
10009,Tex-Mex,9
10009,Thai,14
10009,Vegetarian,33
10009,Vietnamese/Cambodian/Malaysia,11
10010,American,696
10010,Asian,10
10010,Bagels/Pretzels,38
10010,Bakery,10
10010,Barbecue,15
10010,Caf̩/Coffee/Tea,145
10010,Chicken,31
10010,Chinese,85
10010,Continental,13
10010,Delicatessen,60
10010,Donuts,24
10010,Eastern European,8
10010,Filipino,8
10010,French,40
10010,German,11
10010,Greek,1
10010,Hamburgers,22
10010,Hawaiian,4
10010,"Ice Cream, Gelato, Yogurt, Ices",1
10010,Indian,43
10010,Irish,19
10010,Italian,131
10010,Japanese,53
10010,"Juice, Smoothies, Fruit Salads",17
10010,Korean,14
10010,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19
10010,Mediterranean,21
10010,Mexican,68
10010,Middle Eastern,6
10010,Not Listed/Not Applicable,3
10010,Other,9
10010,Peruvian,9
10010,Pizza,48
10010,Pizza/Italian,11
10010,Polish,4
10010,Salads,18
10010,Sandwiches,36
10010,Sandwiches/Salads/Mixed Buffet,46
10010,Seafood,34
10010,Soups & Sandwiches,17
10010,Steak,19
10010,Tapas,2
10010,Tex-Mex,17
10010,Thai,26
10010,Vegetarian,12
10010,Vietnamese/Cambodian/Malaysia,13
10011,American,1075
10011,Armenian,11
10011,Asian,33
10011,Australian,4
10011,Bagels/Pretzels,21
10011,Bakery,54
10011,Barbecue,9
10011,"Bottled beverages, including water, sodas, juices, etc.",11
10011,Caf̩/Coffee/Tea,258
10011,Caribbean,14
10011,Chicken,27
10011,Chilean,5
10011,Chinese,160
10011,Chinese/Cuban,3
10011,Donuts,54
10011,Eastern European,24
10011,English,9
10011,Filipino,10
10011,French,172
10011,German,4
10011,Greek,11
10011,Hamburgers,39
10011,Hawaiian,3
10011,"Ice Cream, Gelato, Yogurt, Ices",38
10011,Indian,3
10011,Irish,19
10011,Italian,312
10011,Japanese,179
10011,"Juice, Smoothies, Fruit Salads",35
10011,Korean,9
10011,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",38
10011,Mediterranean,23
10011,Mexican,98
10011,Middle Eastern,14
10011,Nuts/Confectionary,8
10011,Pizza,135
10011,Pizza/Italian,52
10011,Portuguese,8
10011,Salads,14
10011,Sandwiches,48
10011,Sandwiches/Salads/Mixed Buffet,27
10011,Seafood,17
10011,Soups & Sandwiches,19
10011,Spanish,111
10011,Tex-Mex,9
10011,Thai,71
10011,Turkish,10
10011,Vegetarian,27
10011,Vietnamese/Cambodian/Malaysia,27
10012,American,892
10012,Asian,19
10012,Australian,6
10012,Bakery,85
10012,Bangladeshi,10
10012,"Bottled beverages, including water, sodas, juices, etc.",10
10012,Brazilian,1
10012,Caf̩/Coffee/Tea,212
10012,Californian,2
10012,Caribbean,24
10012,Chinese,38
10012,Delicatessen,38
10012,Donuts,11
10012,Eastern European,14
10012,Ethiopian,8
10012,French,168
10012,Hamburgers,7
10012,Hawaiian,6
10012,"Ice Cream, Gelato, Yogurt, Ices",30
10012,Indian,38
10012,Indonesian,13
10012,Irish,32
10012,Italian,332
10012,Japanese,228
10012,Jewish/Kosher,18
10012,"Juice, Smoothies, Fruit Salads",44
10012,Korean,3
10012,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",67
10012,Mediterranean,65
10012,Mexican,85
10012,Middle Eastern,26
10012,Moroccan,26
10012,Nuts/Confectionary,1
10012,Other,6
10012,Pizza,68
10012,Pizza/Italian,61
10012,Salads,15
10012,Sandwiches,4
10012,Sandwiches/Salads/Mixed Buffet,10
10012,Seafood,44
10012,Spanish,37
10012,Tapas,7
10012,Thai,22
10012,Turkish,23
10012,Vegetarian,58
10012,Vietnamese/Cambodian/Malaysia,9
10013,American,925
10013,Asian,85
10013,Australian,3
10013,Bakery,241
10013,Caf̩/Coffee/Tea,269
10013,Californian,4
10013,Chinese,940
10013,Chinese/Japanese,20
10013,Continental,23
10013,Delicatessen,45
10013,Donuts,10
10013,Eastern European,8
10013,French,99
10013,German,9
10013,Greek,30
10013,Hamburgers,15
10013,Hawaiian,2
10013,"Ice Cream, Gelato, Yogurt, Ices",36
10013,Indian,42
10013,Indonesian,7
10013,Italian,570
10013,Japanese,187
10013,"Juice, Smoothies, Fruit Salads",51
10013,Korean,45
10013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",60
10013,Mediterranean,20
10013,Mexican,46
10013,Middle Eastern,8
10013,Other,3
10013,Pizza,61
10013,Pizza/Italian,7
10013,Salads,16
10013,Sandwiches,28
10013,Sandwiches/Salads/Mixed Buffet,40
10013,Seafood,26
10013,Soups & Sandwiches,7
10013,Steak,17
10013,Tapas,12
10013,Thai,31
10013,Turkish,3
10013,Vegetarian,39
10013,Vietnamese/Cambodian/Malaysia,136
10014,American,1063
10014,Armenian,24
10014,Asian,56
10014,Australian,8
10014,Bagels/Pretzels,6
10014,Bakery,77
10014,"Bottled beverages, including water, sodas, juices, etc.",13
10014,Brazilian,14
10014,Caf̩/Coffee/Tea,245
10014,Californian,6
10014,Chinese,56
10014,Continental,18
10014,Delicatessen,8
10014,Donuts,22
10014,Egyptian,10
10014,English,27
10014,Ethiopian,9
10014,Filipino,4
10014,French,114
10014,German,29
10014,Greek,11
10014,Hamburgers,24
10014,Hawaiian,3
10014,Hotdogs,8
10014,"Ice Cream, Gelato, Yogurt, Ices",45
10014,Indian,7
10014,Irish,25
10014,Italian,303
10014,Japanese,132
10014,"Juice, Smoothies, Fruit Salads",8
10014,Korean,20
10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",38
10014,Mediterranean,60
10014,Mexican,103
10014,Middle Eastern,11
10014,Nuts/Confectionary,8
10014,Other,3
10014,Peruvian,16
10014,Pizza,103
10014,Pizza/Italian,23
10014,Russian,8
10014,Salads,3
10014,Sandwiches,22
10014,Seafood,86
10014,Soups & Sandwiches,7
10014,Spanish,38
10014,Tex-Mex,42
10014,Thai,27
10014,Turkish,17
10014,Vegetarian,17
10016,American,994
10016,Armenian,5
10016,Asian,47
10016,Bagels/Pretzels,40
10016,Bakery,18
10016,Bangladeshi,12
10016,Barbecue,9
10016,"Bottled beverages, including water, sodas, juices, etc.",10
10016,Caf̩/Coffee/Tea,126
10016,Chicken,23
10016,Chinese,173
10016,Chinese/Japanese,20
10016,Delicatessen,56
10016,Donuts,66
10016,Eastern European,10
10016,English,12
10016,French,71
10016,Greek,18
10016,Hamburgers,39
10016,Hawaiian,1
10016,"Ice Cream, Gelato, Yogurt, Ices",8
10016,Indian,167
10016,Iranian,10
10016,Irish,91
10016,Italian,210
10016,Japanese,215
10016,Jewish/Kosher,68
10016,"Juice, Smoothies, Fruit Salads",14
10016,Korean,87
10016,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",28
10016,Mediterranean,54
10016,Mexican,124
10016,Middle Eastern,9
10016,Not Listed/Not Applicable,5
10016,Other,1
10016,Peruvian,15
10016,Pizza,100
10016,Pizza/Italian,97
10016,Salads,12
10016,Sandwiches,33
10016,Sandwiches/Salads/Mixed Buffet,20
10016,Scandinavian,9
10016,Seafood,8
10016,Soups & Sandwiches,14
10016,Spanish,10
10016,Steak,22
10016,Tex-Mex,43
10016,Thai,81
10016,Turkish,35
10017,American,914
10017,Asian,36
10017,Bagels/Pretzels,8
10017,Bakery,27
10017,Basque,12
10017,Caf̩/Coffee/Tea,232
10017,Caribbean,5
10017,Chicken,10
10017,Chinese,64
10017,Continental,14
10017,Delicatessen,76
10017,Donuts,30
10017,French,26
10017,German,10
10017,Greek,29
10017,Hamburgers,13
10017,Hotdogs,11
10017,"Ice Cream, Gelato, Yogurt, Ices",7
10017,Indian,86
10017,Irish,74
10017,Italian,131
10017,Japanese,268
10017,Jewish/Kosher,20
10017,"Juice, Smoothies, Fruit Salads",30
10017,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13
10017,Mediterranean,50
10017,Mexican,60
10017,Other,9
10017,Pizza,62
10017,Pizza/Italian,27
10017,Salads,6
10017,Sandwiches,56
10017,Sandwiches/Salads/Mixed Buffet,26
10017,Seafood,21
10017,Soups & Sandwiches,61
10017,Spanish,17
10017,Steak,69
10017,Thai,38
10017,Turkish,29
10017,Vegetarian,5
10017,Vietnamese/Cambodian/Malaysia,8
10018,American,932
10018,Asian,17
10018,Australian,10
10018,Bakery,46
10018,Bangladeshi,7
10018,Caf̩/Coffee/Tea,159
10018,Chicken,28
10018,Chinese,128
10018,Chinese/Cuban,2
10018,Continental,15
10018,Delicatessen,67
10018,Donuts,54
10018,Filipino,2
10018,French,12
10018,Fruits/Vegetables,2
10018,German,7
10018,Greek,10
10018,Hamburgers,34
10018,Hawaiian,11
10018,Hotdogs,1
10018,Indian,78
10018,Irish,60
10018,Italian,94
10018,Japanese,72
10018,Jewish/Kosher,57
10018,"Juice, Smoothies, Fruit Salads",32
10018,Korean,21
10018,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",56
10018,Mediterranean,24
10018,Mexican,45
10018,Middle Eastern,25
10018,Moroccan,17
10018,Other,4
10018,Pizza,74
10018,Pizza/Italian,23
10018,Salads,10
10018,Sandwiches,55
10018,Sandwiches/Salads/Mixed Buffet,76
10018,Seafood,1
10018,Soups & Sandwiches,15
10018,Southwestern,10
10018,Steak,26
10018,Tex-Mex,4
10018,Thai,25
10018,Turkish,2
10018,Vegetarian,14
10018,Vietnamese/Cambodian/Malaysia,7
10019,Afghan,14
10019,African,19
10019,American,1822
10019,Armenian,1
10019,Asian,44
10019,Bagels/Pretzels,7
10019,Bakery,66
10019,"Bottled beverages, including water, sodas, juices, etc.",15
10019,Brazilian,25
10019,Caf̩/Coffee/Tea,211
10019,Caribbean,8
10019,Chicken,13
10019,Chinese,132
10019,Chinese/Japanese,18
10019,Continental,7
10019,Delicatessen,89
10019,Donuts,45
10019,English,16
10019,French,171
10019,Greek,34
10019,Hamburgers,70
10019,Hawaiian,2
10019,Hotdogs,4
10019,"Ice Cream, Gelato, Yogurt, Ices",25
10019,Indian,96
10019,Irish,98
10019,Italian,370
10019,Japanese,299
10019,Jewish/Kosher,42
10019,"Juice, Smoothies, Fruit Salads",27
10019,Korean,17
10019,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",66
10019,Mediterranean,67
10019,Mexican,192
10019,Middle Eastern,11
10019,Other,32
10019,Peruvian,6
10019,Pizza,139
10019,Pizza/Italian,37
10019,Russian,40
10019,Salads,24
10019,Sandwiches,70
10019,Sandwiches/Salads/Mixed Buffet,71
10019,Seafood,31
10019,Soul Food,8
10019,Soups,8
10019,Soups & Sandwiches,31
10019,Spanish,1
10019,Steak,45
10019,Tex-Mex,38
10019,Thai,123
10019,Turkish,26
10019,Vegetarian,9
10019,Vietnamese/Cambodian/Malaysia,14
10020,American,135
10020,Bakery,7
10020,Caf̩/Coffee/Tea,9
10020,Continental,7
10020,Delicatessen,8
10020,French,7
10020,"Ice Cream, Gelato, Yogurt, Ices",8
10020,Japanese,16
10020,Jewish/Kosher,7
10020,Mexican,15
10020,Sandwiches,5
10020,Sandwiches/Salads/Mixed Buffet,17
10020,Seafood,8
10020,Steak,16
10021,Afghan,4
10021,American,300
10021,Asian,6
10021,Bagels/Pretzels,5
10021,Barbecue,7
10021,Caf̩/Coffee/Tea,98
10021,Chinese,48
10021,Continental,8
10021,Delicatessen,35
10021,Donuts,5
10021,English,12
10021,French,97
10021,Greek,4
10021,Hamburgers,20
10021,"Ice Cream, Gelato, Yogurt, Ices",20
10021,Indian,26
10021,Irish,26
10021,Italian,178
10021,Japanese,90
10021,Jewish/Kosher,7
10021,"Juice, Smoothies, Fruit Salads",8
10021,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8
10021,Mediterranean,33
10021,Mexican,18
10021,Other,1
10021,Pizza,18
10021,Pizza/Italian,16
10021,Salads,9
10021,Sandwiches,9
10021,Sandwiches/Salads/Mixed Buffet,8
10021,Steak,5
10021,Thai,12
10021,Turkish,13
10021,Vegetarian,12
10022,American,1298
10022,Armenian,9
10022,Asian,95
10022,Australian,11
10022,Bagels/Pretzels,13
10022,Bakery,50
10022,"Bottled beverages, including water, sodas, juices, etc.",8
10022,Caf̩/Coffee/Tea,157
10022,Chinese,138
10022,Chinese/Japanese,14
10022,Continental,9
10022,Delicatessen,124
10022,Donuts,49
10022,French,137
10022,Greek,29
10022,Hamburgers,23
10022,Hawaiian,2
10022,"Ice Cream, Gelato, Yogurt, Ices",12
10022,Indian,63
10022,Irish,56
10022,Italian,266
10022,Japanese,199
10022,Jewish/Kosher,37
10022,"Juice, Smoothies, Fruit Salads",35
10022,Korean,15
10022,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2
10022,Mediterranean,41
10022,Mexican,51
10022,Middle Eastern,49
10022,Other,2
10022,Pizza,85
10022,Pizza/Italian,29
10022,Salads,48
10022,Sandwiches,59
10022,Sandwiches/Salads/Mixed Buffet,38
10022,Scandinavian,7
10022,Seafood,15
10022,Soups & Sandwiches,8
10022,Spanish,15
10022,Steak,50
10022,Tex-Mex,19
10022,Thai,42
10022,Turkish,52
10022,Vietnamese/Cambodian/Malaysia,5
10023,American,387
10023,Asian,21
10023,Bagels/Pretzels,10
10023,Bakery,55
10023,Caf̩/Coffee/Tea,131
10023,Chinese,40
10023,Chinese/Cuban,9
10023,Chinese/Japanese,15
10023,Donuts,7
10023,French,56
10023,Hamburgers,10
10023,Hotdogs,7
10023,"Ice Cream, Gelato, Yogurt, Ices",15
10023,Indian,25
10023,Irish,16
10023,Italian,130
10023,Japanese,42
10023,Jewish/Kosher,38
10023,"Juice, Smoothies, Fruit Salads",11
10023,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7
10023,Mediterranean,30
10023,Mexican,28
10023,Middle Eastern,9
10023,Other,10
10023,Pizza,54
10023,Pizza/Italian,32
10023,Salads,6
10023,Sandwiches,39
10023,Sandwiches/Salads/Mixed Buffet,20
10023,Seafood,6
10023,Spanish,13
10023,Steak,11
10023,Tapas,9
10023,Turkish,14
10023,Vegetarian,16
10024,American,371
10024,Armenian,8
10024,Asian,22
10024,Australian,10
10024,Bagels/Pretzels,8
10024,Bakery,41
10024,Caf̩/Coffee/Tea,108
10024,Chicken,19
10024,Chinese,64
10024,Chinese/Cuban,6
10024,Chinese/Japanese,21
10024,Delicatessen,42
10024,Donuts,8
10024,French,27
10024,Greek,13
10024,Hamburgers,33
10024,"Ice Cream, Gelato, Yogurt, Ices",16
10024,Indian,36
10024,Irish,31
10024,Italian,130
10024,Japanese,56
10024,Jewish/Kosher,46
10024,"Juice, Smoothies, Fruit Salads",14
10024,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",36
10024,Mediterranean,45
10024,Mexican,38
10024,Other,2
10024,Pizza,43
10024,Pizza/Italian,15
10024,Salads,5
10024,Sandwiches,13
10024,Sandwiches/Salads/Mixed Buffet,9
10024,Seafood,8
10024,Soups & Sandwiches,8
10024,Tapas,3
10024,Tex-Mex,15
10024,Thai,33
10024,Vegetarian,25
10025,American,329
10025,Armenian,8
10025,Asian,56
10025,Bagels/Pretzels,37
10025,Bakery,40
10025,"Bottled beverages, including water, sodas, juices, etc.",8
10025,Caf̩/Coffee/Tea,107
10025,Caribbean,15
10025,Chicken,22
10025,Chinese,166
10025,Chinese/Cuban,25
10025,Delicatessen,39
10025,Donuts,27
10025,Eastern European,12
10025,Ethiopian,12
10025,French,39
10025,Greek,11
10025,Hamburgers,50
10025,"Ice Cream, Gelato, Yogurt, Ices",48
10025,Indian,65
10025,Irish,8
10025,Italian,72
10025,Japanese,71
10025,Jewish/Kosher,28
10025,"Juice, Smoothies, Fruit Salads",14
10025,Korean,20
10025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",93
10025,Mediterranean,24
10025,Mexican,105
10025,Middle Eastern,39
10025,Other,2
10025,Pakistani,26
10025,Peruvian,10
10025,Pizza,81
10025,Pizza/Italian,69
10025,Salads,5
10025,Sandwiches,30
10025,Sandwiches/Salads/Mixed Buffet,11
10025,Soul Food,13
10025,Soups & Sandwiches,6
10025,Spanish,7
10025,Steak,10
10025,Tex-Mex,17
10025,Thai,62
10025,Turkish,14
10025,Vegetarian,8
10025,Vietnamese/Cambodian/Malaysia,6
10026,African,48
10026,American,194
10026,Bagels/Pretzels,2
10026,Bakery,21
10026,Caf̩/Coffee/Tea,24
10026,Caribbean,20
10026,Chicken,49
10026,Chinese,53
10026,Donuts,13
10026,Ethiopian,9
10026,French,19
10026,Fruits/Vegetables,7
10026,Hamburgers,2
10026,"Ice Cream, Gelato, Yogurt, Ices",2
10026,Indian,20
10026,Italian,23
10026,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3
10026,Mediterranean,11
10026,Mexican,19
10026,Middle Eastern,12
10026,Pizza,9
10026,Sandwiches,3
10026,Sandwiches/Salads/Mixed Buffet,7
10026,Seafood,6
10026,Soul Food,27
10026,Spanish,32
10026,Thai,1
10026,Vegetarian,6
10027,African,62
10027,American,346
10027,Asian,16
10027,Bakery,2
10027,Barbecue,30
10027,Caf̩/Coffee/Tea,57
10027,Caribbean,40
10027,Chicken,44
10027,Chinese,100
10027,Delicatessen,7
10027,Donuts,14
10027,Egyptian,7
10027,Ethiopian,13
10027,French,46
10027,German,1
10027,Hamburgers,53
10027,"Ice Cream, Gelato, Yogurt, Ices",6
10027,Indian,24
10027,Italian,48
10027,Japanese,59
10027,"Juice, Smoothies, Fruit Salads",12
10027,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9
10027,Mediterranean,11
10027,Mexican,23
10027,Middle Eastern,6
10027,Pizza,46
10027,Pizza/Italian,9
10027,Sandwiches,13
10027,Sandwiches/Salads/Mixed Buffet,27
10027,Seafood,16
10027,Soul Food,51
10027,Spanish,24
10027,Steak,12
10027,Tex-Mex,2
10027,Vegetarian,4
10028,American,464
10028,Asian,5
10028,Bagels/Pretzels,40
10028,Bakery,22
10028,"Bottled beverages, including water, sodas, juices, etc.",8
10028,Caf̩/Coffee/Tea,84
10028,Chicken,6
10028,Chinese,48
10028,Chinese/Japanese,9
10028,Continental,15
10028,Delicatessen,4
10028,Donuts,21
10028,Eastern European,11
10028,French,36
10028,German,20
10028,Greek,13
10028,Hamburgers,6
10028,Hotdogs,10
10028,"Ice Cream, Gelato, Yogurt, Ices",17
10028,Indian,38
10028,Irish,37
10028,Italian,125
10028,Japanese,104
10028,Jewish/Kosher,43
10028,"Juice, Smoothies, Fruit Salads",3
10028,Korean,5
10028,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3
10028,Mediterranean,19
10028,Mexican,54
10028,Pizza,60
10028,Pizza/Italian,14
10028,Salads,16
10028,Sandwiches,38
10028,Seafood,6
10028,Spanish,10
10028,Tex-Mex,4
10028,Thai,34
10028,Turkish,7
10029,African,3
10029,American,288
10029,Armenian,5
10029,Asian,12
10029,Bakery,68
10029,Bangladeshi,3
10029,Caf̩/Coffee/Tea,36
10029,Caribbean,26
10029,Chicken,37
10029,Chinese,180
10029,Chinese/Japanese,10
10029,Delicatessen,17
10029,Donuts,19
10029,French,7
10029,Greek,6
10029,Hamburgers,71
10029,Hawaiian,4
10029,Indian,25
10029,Italian,29
10029,Japanese,11
10029,Jewish/Kosher,9
10029,"Juice, Smoothies, Fruit Salads",24
10029,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",109
10029,Mediterranean,19
10029,Mexican,227
10029,Moroccan,17
10029,Other,5
10029,Pakistani,9
10029,Peruvian,9
10029,Pizza,131
10029,Polynesian,19
10029,Sandwiches,33
10029,Sandwiches/Salads/Mixed Buffet,13
10029,Seafood,20
10029,Spanish,40
10029,Steak,14
10029,Tex-Mex,10
10029,Thai,44
10029,Vegetarian,5
10030,African,23
10030,American,30
10030,Bagels/Pretzels,8
10030,Bakery,7
10030,Caf̩/Coffee/Tea,17
10030,Caribbean,43
10030,Chicken,6
10030,Chinese,17
10030,Donuts,4
10030,Ethiopian,6
10030,French,9
10030,Hamburgers,12
10030,"Juice, Smoothies, Fruit Salads",5
10030,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23
10030,Middle Eastern,9
10030,Pancakes/Waffles,13
10030,Pizza,17
10030,Sandwiches,4
