zipcode,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
11201,544800.0,548900.0,553100.0,553700.0,553100.0,555300.0,559400.0,561400.0,566800.0,579700.0,591600.0,598900.0,604400.0,606400.0,602000.0,594800.0,591400.0,598100.0,607400.0,613300.0,616400.0,619100.0,621200.0,624300.0,627000.0,626200.0,622700.0,620300.0,624300.0,633300.0,642500.0,650800.0,659100.0,667600.0,676700.0,689900.0,703400.0,716700.0,727400.0,732400.0,732000.0,736100,743600,748900,752600,761500,768700,774500,781700,789500,796800,808200,819700,831900,850400,866100.0,869900,866200,864900,867800,879500.0,898300.0,916700,929700,935500,930800.0,923100.0,919900.0,921100.0,924500,927700,927300,930600,936000,941000,946700.0,954400,965400,986200,1023700,1073800,1113100,1139000,1155900,1165400
11212,299200.0,297300.0,296900.0,296300.0,294300.0,293000.0,290400.0,286700.0,285300.0,286800.0,288400.0,289600.0,289500.0,286700.0,281600.0,277500.0,275100.0,273700.0,273400.0,273600.0,273100.0,273200.0,275300.0,278400.0,281900.0,284800.0,286600.0,288000.0,289700.0,290800.0,290900.0,290900.0,290000.0,288200.0,287400.0,288000.0,288100.0,288200.0,288200.0,289000.0,291100.0,293000,293200,292200,293300,295600,294600,291200,289600,289700,291400,294600,297400,298900,300400,302400.0,304300,306100,307300,307800,309400.0,313400.0,316000,317400,319700,322400.0,325300.0,329700.0,333000.0,333900,336400,344700,355300,362100,366200,369800.0,373000,375900,381700,389300,394900,396200,398000,399600,399800
11214,426800.0,426300.0,428000.0,428300.0,429800.0,434400.0,438500.0,440600.0,443000.0,446300.0,450600.0,458300.0,461900.0,461700.0,461700.0,459300.0,454100.0,454700.0,458500.0,458600.0,453300.0,450600.0,451300.0,453100.0,454800.0,457300.0,459000.0,459200.0,460500.0,462500.0,464900.0,465900.0,470400.0,476200.0,481500.0,484200.0,486100.0,486900.0,488900.0,490200.0,489200.0,486800,487100,490300,494700,498800,501300,502300,501300,500100,501000,505900,511200,513900,515000,517700.0,522400,530100,538500,544600,550800.0,558000.0,563300,565000,565200,564400.0,565900.0,570200.0,574500.0,576500,577600,581900,591200,601000,608500,615400.0,621400,624500,628300,637000,648300,654100,655600,657400,659500
11377,302800.0,300800.0,298700.0,302800.0,308500.0,312500.0,312900.0,307700.0,296800.0,286400.0,281000.0,277700.0,272100.0,263800.0,259000.0,261700.0,267100.0,268400.0,267600.0,268200.0,267700.0,267800.0,267300.0,265200.0,263000.0,264400.0,265300.0,267500.0,270400.0,273900.0,278500.0,284300.0,288100.0,288600.0,285500.0,280600.0,282600.0,289700.0,297400.0,305600.0,315700.0,317700,313400,310600,311000,311800,315800,324400,334200,341600,344800,343700,342400,342300,343600,349200.0,355000,353500,352500,353400,355200.0,358800.0,365100,371300,383800,390600.0,390400.0,389700.0,401400.0,421300,436800,440400,441800,442700,444200,451100.0,457000,467000,478700,493000,507800,527700,547500,570900,589900
11234,410500.0,409300.0,411900.0,413000.0,413700.0,415600.0,417800.0,418300.0,419800.0,423700.0,427300.0,430100.0,429900.0,427100.0,422700.0,417700.0,412900.0,413800.0,415500.0,414200.0,410600.0,409900.0,412400.0,415600.0,418500.0,421800.0,421400.0,419200.0,418900.0,417900.0,416600.0,417100.0,418500.0,419300.0,420900.0,424400.0,427700.0,428600.0,429800.0,432900.0,434800.0,434800,434800,436700,439500,443100,446000,447200,448400,450600,452500,454000,454400,454000,454200,455400.0,458100,461100,461900,464300,470400.0,476200.0,480100,483700,487600,491400.0,494900.0,497000.0,496900.0,497200,500700,505100,507900,511100,516100,524300.0,533400,538400,542200,549300,556900,558500,558000,558900,560400
11207,290300.0,289500.0,289600.0,288800.0,287200.0,285600.0,284500.0,282900.0,285800.0,291700.0,295800.0,298800.0,300400.0,298000.0,295300.0,291900.0,287500.0,286800.0,287700.0,286700.0,284300.0,283500.0,282900.0,281900.0,281800.0,282800.0,282000.0,281300.0,280500.0,276200.0,273000.0,274500.0,277600.0,279500.0,282300.0,284600.0,287700.0,291000.0,293200.0,295700.0,300100.0,302700,303400,304500,305000,305500,307300,310100,312200,314700,317900,321500,323100,324400,327000,331000.0,335500,338600,338600,337700,339200.0,341600.0,345600,349600,350600,349000.0,347700.0,347500.0,348400.0,351000,354300,356500,356900,357400,358700,360500.0,363200,365600,367500,370400,373200,373900,373600,373800,374300
10314,381100.0,377600.0,376000.0,375500.0,374700.0,373400.0,371600.0,369000.0,367100.0,365700.0,364800.0,363800.0,362000.0,360800.0,361300.0,361800.0,360900.0,359400.0,358200.0,357900.0,358400.0,359200.0,360000.0,360900.0,362200.0,363500.0,364800.0,365300.0,365500.0,366500.0,367500.0,368100.0,369100.0,370900.0,372600.0,374400.0,376400.0,378300.0,379400.0,380400.0,381400.0,382200,383000,384300,385000,385300,386000,387800,389900,392100,393700,395400,397300,399300,400800,402500.0,405400,408800,411600,414300,417500.0,420700.0,423300,424600,424800,425200.0,426600.0,428100.0,430200.0,432300,433400,434600,437900,441700,445000,447500.0,450500,455200,462100,469900,478200,487000,494400,499200,502200
11215,541200.0,546100.0,553600.0,562200.0,571400.0,581100.0,590000.0,595700.0,602300.0,612700.0,622200.0,629600.0,636200.0,638500.0,636700.0,634500.0,634700.0,640600.0,647600.0,651700.0,652700.0,654800.0,662100.0,672800.0,681300.0,687000.0,689800.0,693700.0,702100.0,712000.0,720800.0,730400.0,741000.0,750400.0,760300.0,774500.0,788900.0,797900.0,803900.0,810000.0,817100.0,827900,839600,847600,854500,864200,868100,865400,862600,864200,866500,868300,868700,873900,884400,894800.0,901100,909300,920600,927300,931800.0,944200.0,961200,972800,980100,980200.0,973900.0,968200.0,966900.0,967700,967900,972200,985000,998700,1010100,1031200.0,1056900,1068800,1087700,1133500,1180000,1198500,1208300,1218500,1225700
11221,373500.0,374000.0,374500.0,370600.0,368000.0,370700.0,372700.0,372200.0,373300.0,378800.0,383600.0,387600.0,390100.0,390300.0,388100.0,384700.0,380000.0,382400.0,392200.0,401200.0,404700.0,407900.0,413800.0,420200.0,425300.0,431600.0,441000.0,448400.0,452600.0,454900.0,459700.0,463500.0,469700.0,477700.0,493400.0,517300.0,541500.0,553700.0,566100.0,580500.0,592800.0,605300,619700,629200,637200,647900,656900,669100,690800,717800,739700,751800,755500,761500,774900,791400.0,805600,813900,820300,830900,843400.0,852500.0,861000,867400,876700,887100.0,898900.0,912100.0,928600.0,944400,954700,950200,940400,942300,954800,973000.0,990200,996200,992000,998400,1015800,1022300,1015000,1008700,1005300
11211,576600.0,576000.0,573900.0,564600.0,556300.0,554600.0,556400.0,558000.0,561900.0,566300.0,568900.0,574000.0,577300.0,576900.0,575100.0,570400.0,563900.0,563900.0,568800.0,573800.0,579100.0,585000.0,597200.0,617900.0,639100.0,653800.0,666800.0,676600.0,682000.0,685400.0,688300.0,693100.0,706100.0,722300.0,727700.0,727900.0,736800.0,747600.0,752100.0,754500.0,758800.0,762100,766100,773400,787800,803100,817800,832600,841900,843800,847300,850000,849400,855800,873900,894700.0,910500,922600,928500,922700,919800.0,935300.0,959700,979400,1000100,1020400.0,1047300.0,1061400.0,1046200.0,1039300,1064100,1093100,1106400,1106700,1092600,1082300.0,1079900,1074300,1063400,1066100,1078900,1080800,1069900,1062500,1059800
