,max_type,VIOLATION_rate,avg_house_rent_price,mus_count15,mus_count5,res_max_type,population,avg_house_sell_price,univ_count5,Y
10453,2,0.17516629711751663,0.0,82.0,82.0,21,78309.0,0.0,7.0,1
11236,2,0.1781818181818182,1861.4571428571428,3.0,3.0,21,93877.0,0.0,0.0,1
10475,2,0.1731301939058172,0.0,14.0,14.0,22,40931.0,0.0,5.0,1
10471,2,0.10777385159010601,1848.0,66.0,66.0,19,22922.0,0.0,10.0,0
11211,2,0.13498469245755637,2711.157142857143,0.0,0.0,25,90117.0,800345.8823529412,9.0,0
10303,2,0.20886551465063863,1953.7714285714285,40.0,40.0,18,26337.0,278896.4705882353,0.0,1
10468,2,0.1269718127747608,0.0,93.0,93.0,18,76103.0,0.0,16.0,0
11237,2,0.1450015010507355,2266.1,0.0,0.0,25,49896.0,508495.29411764705,2.0,0
10037,2,0.11106328024106758,0.0,113.0,113.0,18,17416.0,0.0,17.0,0
10044,2,0.19807692307692307,3199.6428571428573,86.0,86.0,12,11661.0,0.0,9.0,1
11216,2,0.1369951534733441,2215.8285714285716,60.0,60.0,24,54316.0,0.0,10.0,0
11355,2,0.16050420168067228,2053.7,41.0,41.0,25,85871.0,0.0,13.0,1
11421,2,0.16859344894026976,1926.7571428571428,0.0,0.0,22,39127.0,391396.4705882353,0.0,1
11239,2,0.12137931034482759,0.0,0.0,0.0,14,13393.0,0.0,0.0,0
10115,2,0.11752360965372508,0.0,98.0,98.0,9,0.0,0.0,32.0,0
10460,2,0.1526857983811626,0.0,14.0,14.0,21,57311.0,0.0,0.0,1
10030,2,0.15752390538500252,2489.457142857143,118.0,118.0,15,26999.0,0.0,10.0,1
10454,2,0.13705080545229245,0.0,44.0,44.0,21,37337.0,0.0,9.0,0
10463,2,0.12962138084632516,1768.9857142857143,90.0,90.0,22,67970.0,404325.8823529412,10.0,0
10466,2,0.15098468271334792,1696.3142857142857,31.0,31.0,18,67813.0,0.0,2.0,1
10034,2,0.10819262038774234,0.0,87.0,87.0,22,38908.0,0.0,4.0,0
11217,2,0.13906390639063906,2678.2428571428572,59.0,59.0,25,35881.0,836983.5294117647,1.0,0
11415,2,0.1774193548387097,1942.0714285714287,9.0,9.0,21,19341.0,0.0,5.0,1
11373,2,0.10247651579846286,2033.4714285714285,19.0,19.0,25,100820.0,323742.35294117645,1.0,0
11207,2,0.14892492069087063,1965.7571428571428,0.0,0.0,21,93386.0,314963.5294117647,0.0,1
10031,2,0.14886578449905483,2632.5714285714284,119.0,119.0,21,56438.0,0.0,8.0,1
11436,2,0.15483234714003946,1901.9285714285713,10.0,10.0,10,17949.0,331697.64705882355,1.0,1
11104,2,0.2176039119804401,2097.5857142857144,48.0,48.0,23,27232.0,0.0,3.0,1
10005,2,0.15698924731182795,3713.5142857142855,187.0,187.0,25,7135.0,1045669.4117647059,14.0,1
10467,2,0.14485165794066318,1650.6285714285714,56.0,56.0,21,97060.0,0.0,4.0,0
10027,2,0.14045553145336226,2901.957142857143,123.0,123.0,24,59707.0,0.0,34.0,0
11101,2,0.1425531914893617,2369.6428571428573,61.0,61.0,25,25484.0,0.0,5.0,0
11214,2,0.1305173232083531,1920.9714285714285,34.0,34.0,25,88630.0,511128.23529411765,0.0,0
11433,2,0.15924657534246575,1928.2142857142858,13.0,13.0,12,32687.0,343204.70588235295,6.0,1
10002,2,0.11800346220427005,3545.2714285714287,97.0,97.0,25,81410.0,0.0,0.0,0
11096,2,0.15254237288135594,0.0,0.0,0.0,9,8344.0,0.0,0.0,1
10011,2,0.09798566063502902,4014.5142857142855,189.0,189.0,25,50984.0,0.0,24.0,0
11206,2,0.14569237708615246,2408.457142857143,9.0,9.0,24,81677.0,481912.9411764706,8.0,0
10003,2,0.08168456755228942,3845.657142857143,198.0,198.0,25,56024.0,0.0,28.0,0
11103,2,0.15156794425087108,2166.9714285714285,44.0,44.0,25,38780.0,594491.7647058824,0.0,1
11374,2,0.13602251407129456,2000.8714285714286,16.0,16.0,24,43600.0,0.0,4.0,0
10451,2,0.14454177897574125,1658.8714285714286,109.0,109.0,19,45713.0,0.0,10.0,0
10462,2,0.1431159420289855,1663.8142857142857,3.0,3.0,22,75784.0,0.0,0.0,0
11418,2,0.18230852211434737,1945.6857142857143,0.0,0.0,18,36256.0,409755.29411764705,0.0,1
10013,2,0.10506706408345752,0.0,191.0,191.0,25,27700.0,2577685.882352941,14.0,0
10456,2,0.15690115761353518,1701.3142857142857,45.0,45.0,18,86547.0,285021.17647058825,2.0,1
10455,2,0.14138315672058002,0.0,11.0,11.0,18,39665.0,0.0,3.0,0
11367,2,0.18505338078291814,2026.4285714285713,36.0,36.0,24,41047.0,466658.82352941175,17.0,1
11225,2,0.1555104800540906,2097.1714285714284,55.0,55.0,24,56829.0,675585.8823529412,11.0,1
10012,2,0.07277628032345014,0.0,269.0,269.0,25,24090.0,1766420.0,29.0,0
11413,2,0.1893542757417103,1916.642857142857,0.0,0.0,21,38912.0,376240.0,0.0,1
11435,2,0.14643304130162704,1919.9714285714285,14.0,14.0,18,53687.0,335895.29411764705,3.0,1
10314,2,0.19786729857819904,2024.9714285714285,44.0,44.0,25,85510.0,397461.17647058825,5.0,1
10472,2,0.14724126673196214,0.0,0.0,0.0,18,66358.0,0.0,0.0,1
11426,2,0.13802816901408452,2107.2428571428572,15.0,15.0,24,17590.0,478757.64705882355,0.0,0
11213,2,0.15695876288659794,2054.342857142857,51.0,51.0,18,63767.0,651894.1176470588,9.0,1
11368,2,0.13007518796992482,2059.7571428571428,40.0,40.0,18,109931.0,318815.29411764705,5.0,0
11221,2,0.18143731872381566,2194.2,22.0,22.0,25,78895.0,646771.7647058824,5.0,1
11209,2,0.15956873315363881,2026.4714285714285,82.0,82.0,25,68853.0,555701.1764705882,0.0,1
10022,2,0.09510869565217392,3694.5285714285715,210.0,210.0,25,31924.0,0.0,6.0,0
10035,2,0.1101862861672612,2630.4714285714285,49.0,49.0,22,33969.0,0.0,5.0,0
11422,2,0.2020997375328084,1911.2142857142858,0.0,0.0,18,30425.0,374195.29411764705,0.0,1
10020,2,0.08404558404558404,0.0,203.0,203.0,19,0.0,0.0,1.0,0
11204,2,0.13305785123966943,1940.4142857142858,20.0,20.0,25,78134.0,674560.0,0.0,0
10024,2,0.15017064846416384,3783.957142857143,114.0,114.0,24,59283.0,0.0,26.0,1
11416,2,0.15775034293552812,1906.8142857142857,0.0,0.0,18,24861.0,387827.0588235294,0.0,1
