,zip,latitude,longitude
3785,10133,40.71,-73.99
3786,10138,40.71,-73.99
3787,10149,40.76,-73.98
3788,10150,40.71,-73.99
3789,10151,40.71,-73.99
3790,10152,40.76,-73.97
3791,10153,40.76,-73.97
3792,10154,40.76,-73.97
3793,10155,40.71,-73.99
3794,10156,40.71,-73.99
3795,10157,40.71,-73.99
3796,10158,40.71,-73.99
3797,10159,40.71,-73.99
3798,10160,40.71,-73.99
3799,10161,40.71,-73.99
3800,10162,40.77,-73.95
3801,10163,40.71,-73.99
3802,10164,40.71,-73.99
3803,10165,40.75,-73.98
3804,10166,40.71,-73.99
3805,10167,40.75,-73.97
3806,10168,40.75,-73.98
3807,10169,40.75,-73.98
3808,10170,40.75,-73.98
3809,10171,40.76,-73.97
3810,10172,40.76,-73.97
3811,10173,40.75,-73.98
3812,10174,40.75,-73.98
3813,10175,40.71,-73.99
3814,10176,40.71,-73.99
3815,10177,40.76,-73.98
3816,10178,40.71,-73.99
3817,10179,40.71,-73.99
3818,10184,40.71,-74.0
3819,10185,40.71,-73.99
3820,10196,40.71,-74.0
3821,10197,40.71,-74.0
3822,10199,40.75,-74.0
3823,10200,40.77,-73.95
3824,10203,40.71,-73.99
3825,10211,40.71,-73.99
3826,10212,40.71,-73.99
3827,10213,40.71,-73.99
3828,10242,40.71,-73.99
3829,10249,40.71,-73.99
3830,10256,40.71,-73.99
3831,10257,40.71,-73.99
3832,10258,40.71,-73.99
3833,10259,40.71,-73.99
3834,10260,40.71,-73.99
3835,10261,40.71,-73.99
3836,10265,40.71,-73.99
3837,10268,40.71,-73.99
3838,10269,40.71,-73.99
3839,10270,40.71,-73.99
3840,10271,40.71,-74.01
3841,10272,40.71,-73.99
3842,10273,40.71,-73.99
3843,10274,40.71,-73.99
3844,10275,40.71,-73.99
3845,10276,40.71,-73.99
3846,10277,40.71,-73.99
3847,10278,40.72,-74.0
3848,10279,40.71,-74.01
3849,10280,40.71,-74.02
3850,10281,40.71,-73.99
3851,10282,40.72,-74.02
3852,10285,40.71,-73.99
3853,10286,40.71,-73.99
3854,10292,40.71,-73.99
3855,10301,40.63,-74.09
3856,10302,40.63,-74.14
3857,10303,40.63,-74.17
3858,10304,40.61,-74.09
3859,10305,40.6,-74.07
3860,10306,40.58,-74.14
3861,10307,40.51,-74.24
3862,10308,40.55,-74.15
3863,10309,40.53,-74.22
3864,10310,40.63,-74.12
3865,10311,40.61,-74.18
3866,10312,40.55,-74.18
3867,10313,40.58,-74.14
3868,10314,40.6,-74.17
3869,10451,40.82,-73.93
3870,10452,40.84,-73.92
3871,10453,40.85,-73.91
3872,10454,40.81,-73.92
3873,10455,40.81,-73.91
3874,10456,40.83,-73.91
3875,10457,40.85,-73.9
3876,10458,40.86,-73.89
3877,10459,40.83,-73.89
3878,10460,40.84,-73.87
3879,10461,40.85,-73.84
3880,10462,40.84,-73.86
3881,10463,40.88,-73.91
3882,10464,40.87,-73.8
3883,10465,40.82,-73.83
3884,10466,40.89,-73.85
3885,10467,40.87,-73.87
3886,10468,40.87,-73.9
3887,10469,40.87,-73.85
3888,10470,40.89,-73.87
3889,10471,40.9,-73.9
3890,10472,40.83,-73.87
3891,10473,40.82,-73.86
3892,10474,40.81,-73.88
3893,10475,40.88,-73.82
3894,10499,40.84,-73.87
3895,10501,41.3,-73.76
3896,10502,41.01,-73.84
3897,10503,41.03,-73.88
3898,10504,41.13,-73.71
3899,10505,41.34,-73.75
3900,10506,41.19,-73.64
3901,10507,41.22,-73.69
3902,10509,41.39,-73.61
3903,10510,41.13,-73.84
3904,10511,41.26,-73.94
3905,10512,41.41,-73.68
3906,10514,41.17,-73.77
3907,10516,41.41,-73.95
3908,10517,41.3,-73.86
3909,10518,41.26,-73.59
3910,10519,41.35,-73.65
3911,10520,41.22,-73.89
3912,10521,41.22,-73.89
3913,10522,41.01,-73.86
3914,10523,41.06,-73.82
3915,10524,41.37,-73.92
3916,10526,41.29,-73.67
3917,10527,41.32,-73.77
3918,10528,40.97,-73.73
3919,10530,41.02,-73.8
3920,10532,41.1,-73.79
3921,10533,41.03,-73.86
3922,10535,41.34,-73.79
3923,10536,41.26,-73.68
3924,10537,41.34,-73.88
3925,10538,40.92,-73.75
3926,10540,41.3,-73.71
3927,10541,41.36,-73.74
3928,10542,41.36,-73.73
3929,10543,40.95,-73.74
3930,10545,41.18,-73.84
3931,10546,41.2,-73.8
3932,10547,41.31,-73.84
3933,10548,41.24,-73.94
3934,10549,41.2,-73.73
3935,10550,40.91,-73.84
3936,10551,40.91,-73.82
3937,10552,40.92,-73.83
3938,10553,40.91,-73.82
3939,10557,40.9,-73.82
3940,10558,40.9,-73.82
3941,10560,41.33,-73.59
3942,10562,41.15,-73.87
3943,10566,41.28,-73.92
3944,10567,41.3,-73.89
3945,10570,41.13,-73.78
3946,10571,41.13,-73.79
3947,10572,41.13,-73.79
3948,10573,41.02,-73.68
3949,10576,41.21,-73.57
3950,10577,41.03,-73.71
3951,10578,41.32,-73.68
3952,10579,41.34,-73.87
3953,10580,40.98,-73.69
3954,10583,40.98,-73.77
3955,10587,41.3,-73.71
3956,10588,41.34,-73.82
3957,10589,41.33,-73.69
3958,10590,41.25,-73.54
3959,10591,41.06,-73.86
3960,10594,41.11,-73.77
3961,10595,41.07,-73.77
3962,10596,41.26,-73.96
