,Address ZIP,Address City,DCA License Number,License Type,License Expiration Date
52501,11215,BROOKLYN,1346165-DCA,Business,03/31/2018
52502,10023,NEW YORK,1344011-DCA,Business,12/31/2017
52503,10012,NEW YORK,1101999-DCA,Business,09/15/2019
52504,10011,NEW YORK,0910548-DCA,Individual,09/30/2018
52505,10023,NEW YORK,0830823-DCA,Business,05/01/2018
52506,10023,NEW YORK,1386436-DCA,Business,03/31/2018
52508,10460,BRONX,1235575-DCA,Business,12/31/2017
52509,11355,FLUSHING,2006816-DCA,Individual,02/28/2019
52510,11220,BROOKLYN,1238499-DCA,Business,02/28/2019
52511,10462,BRONX,2005889-DCA,Business,03/15/2018
52512,10309,STATEN ISLAND,1343724-DCA,Individual,02/28/2019
52513,11377,WOODSIDE,0953993-DCA,Business,02/28/2019
52514,11238,BROOKLYN,1138310-DCA,Business,12/31/2018
52515,10504,ARMONK,2052153-DCA,Individual,02/28/2019
52516,11385,RIDGEWOOD,1173911-DCA,Individual,05/31/2019
52517,11419,S RICHMOND HL,2047176-1-DCA,Business,12/31/2017
52518,10002,NEW YORK,1466890-DCA,Individual,02/28/2019
52519,10017,NEW YORK,2056161-DCA,Individual,07/31/2018
52520,10003,NEW YORK,1409708-DCA,Business,03/31/2019
52521,11226,BROOKLYN,1339216-DCA,Business,07/31/2019
52522,10029,NEW YORK,2057658-DCA,Individual,04/30/2018
52523,11365,FRESH MEADOWS,1164486-DCA,Business,02/28/2019
52524,10472,BRONX,1299497-DCA,Business,01/06/2018
52525,11729,DEER PARK,1174477-DCA,Business,03/15/2018
52526,11209,BROOKLYN,2045676-DCA,Business,03/31/2018
52527,11372,JACKSON HTS,2029735-DCA,Individual,02/28/2019
52528,10310,STATEN ISLAND,2034588-1-DCA,Business,12/31/2017
52529,11206,BROOKLYN,2046271-DCA,Business,03/31/2018
52530,11204,BROOKLYN,2030401-DCA,Business,12/31/2018
52532,11550,HEMPSTEAD,2047591-DCA,Business,12/31/2017
52533,11216,BROOKLYN,2020349-DCA,Individual,02/28/2019
52534,11228,BROOKLYN,1133540-DCA,Business,12/31/2017
52535,10040,NEW YORK,0764243-DCA,Business,06/30/2018
52536,10033,NEW YORK,1301963-DCA,Business,07/31/2019
52538,11420,SOUTH OZONE PARK,2039566-DCA,Individual,02/28/2019
52539,10472,BRONX,1222457-DCA,Business,03/31/2018
52541,11105,ASTORIA,1462844-DCA,Business,12/31/2018
52542,11572,OCEANSIDE,1234461-DCA,Business,02/28/2019
52543,11249,BROOKLYN,2037213-DCA,Business,05/01/2018
52544,10075,NEW YORK,2047350-DCA,Individual,02/28/2019
52545,11354,FLUSHING,1309585-DCA,Individual,02/28/2019
52546,10458,BRONX,0922317-DCA,Individual,05/31/2019
52548,11358,FLUSHING,1346407-DCA,Business,02/28/2019
52550,11106,ASTORIA,2017696-DCA,Business,11/16/2017
52551,10019,NEW YORK,1331622-DCA,Business,03/31/2018
52552,11729,DEER PARK,1196635-DCA,Business,03/15/2018
52553,10019,NEW YORK,0890968-DCA,Business,07/31/2019
52554,11210,BROOKLYN,2053630-DCA,Business,03/15/2018
52555,11104,SUNNYSIDE,1340635-DCA,Business,12/31/2018
52556,10465,BRONX,1234015-DCA,Individual,02/28/2019
52557,11231,BROOKLYN,2047239-DCA,Business,03/31/2018
52558,11365,FLUSHING,0369838-DCA,Business,03/31/2019
52559,11385,RIDGEWOOD,2049570-DCA,Business,02/28/2019
52560,10001,NEW YORK,1305727-DCA,Business,05/01/2018
52561,11235,BROOKLYN,1394390-DCA,Business,06/30/2018
52562,10467,BRONX,1459475-DCA,Business,07/31/2019
52563,11357,WHITESTONE,1287823-DCA,Individual,02/28/2019
52565,11385,RIDGEWOOD,1187270-DCA,Business,12/31/2017
52566,11218,BROOKLYN,2038732-DCA,Individual,02/28/2019
52567,11426,BELLEROSE,2038400-1-DCA,Business,12/31/2017
52568,11208,BROOKLYN,1320849-DCA,Individual,02/28/2019
52569,11210,BROOKLYN,0710100-DCA,Individual,02/28/2019
52570,11366,FRESH MEADOWS,1338806-DCA,Business,07/31/2019
52571,10305,STATEN ISLAND,0831445-DCA,Business,02/28/2019
52572,11357,WHITESTONE,2001669-DCA,Individual,02/28/2019
52573,10463,BRONX,2050563-DCA,Business,12/31/2017
52574,11209,BROOKLYN,1214604-DCA,Business,12/31/2018
52575,11374,REGO PARK,2049854-DCA,Business,02/28/2019
52576,11385,GLENDALE,2035415-DCA,Individual,02/28/2019
52577,11105,ASTORIA,2003709-DCA,Individual,02/28/2019
52578,11226,BROOKLYN,1421753-DCA,Individual,05/31/2019
52579,10977,SPRING VALLEY,0846963-DCA,Individual,02/28/2019
52580,11434,JAMAICA,2045569-DCA,Business,03/31/2019
52581,11220,BROOKLYN,2004879-DCA,Business,12/31/2018
52582,10460,BRONX,1342205-DCA,Business,07/31/2019
52583,10019,NEW YORK,1254413-DCA,Business,09/15/2018
52584,11355,FLUSHING,2023123-DCA,Business,12/31/2018
52585,10028,NEW YORK,1341844-DCA,Business,12/31/2018
52586,10310,STATEN ISLAND,1431140-DCA,Business,03/15/2018
52587,10460,BRONX,1087757-DCA,Individual,09/30/2018
52588,10473,BRONX,0925513-DCA,Business,04/30/2018
52589,10552,MOUNT VERNON,1233072-DCA,Business,03/15/2019
52590,11010,FRANKLIN SQ,0860661-DCA,Individual,02/28/2019
52591,11801,HICKSVILLE,2043033-DCA,Individual,02/28/2019
52592,10470,BRONX,1188089-DCA,Individual,10/31/2018
52593,11232,BROOKLYN,2032278-DCA,Business,02/28/2019
52594,10704,YONKERS,2049784-DCA,Business,02/28/2019
52595,11219,BROOKLYN,1032439-DCA,Individual,02/28/2019
52596,11414,HOWARD BEACH,2028912-DCA,Individual,05/31/2019
52598,10001,NEW YORK,2006532-DCA,Business,02/28/2019
52599,11361,BAYSIDE,1071642-DCA,Business,12/31/2018
52601,11208,BROOKLYN,2031243-DCA,Business,07/31/2019
52602,10036,NEW YORK,1048160-DCA,Business,12/31/2018
52603,11432,JAMAICA,2016013-DCA,Business,03/31/2018
52604,10314,STATEN ISLAND,2048964-DCA,Individual,06/15/2018
52606,10704,YONKERS,2051743-DCA,Business,02/28/2019
52607,11419,SOUTH RICHMOND HILL,2032464-DCA,Business,07/31/2019
52608,10023,NEW YORK,0901088-DCA,Business,03/31/2019
52609,10461,BRONX,1306138-DCA,Business,02/28/2019
