Address ZIP,count1,count5,count15
11959,0,0,0
11961,0,0,0
11963,0,0,0
11965,0,0,0
11967,0,0,0
11968,0,0,0
11971,0,0,0
11972,0,0,0
11975,0,0,0
11976,0,0,0
11978,0,0,0
11980,0,0,0
11451,0,10,95
10072,0,6,55
10082,2,13,56
10015,1,6,39
10046,0,2,28
10047,0,1,24
11425,0,15,153
10111,0,3,69
10149,0,1,50
10278,0,6,49
10557,0,1,49
10558,0,0,42
11381,0,5,86
11390,0,2,75
11248,0,8,79
11254,0,5,70
11240,1,17,124
11255,0,11,110
10199,0,3,30
10098,0,4,46
10200,0,8,112
11244,1,11,94
10079,0,3,29
11120,0,8,96
10110,0,16,83
10115,2,16,111
10094,0,2,25
10096,0,1,21
10043,0,3,54
10045,0,1,45
10048,0,0,21
10099,0,0,18
10177,0,0,41
10184,0,0,15
10196,0,0,12
10197,0,0,10
11351,1,17,94
10499,0,17,159
11243,0,1,115
11245,0,0,96
10060,0,0,30
10081,0,0,19
10087,0,0,15
11424,0,11,96
11405,1,14,103
11439,0,3,70
11499,0,1,60
10090,0,0,11
11380,0,18,130
10095,0,0,8
10102,0,0,3
10104,0,0,1
11251,0,0,46
11256,0,0,21
11690,1,17,69
11695,0,8,57
11026,0,0,7
11027,0,0,5
11041,0,0,4
11043,0,0,3
11044,0,0,2
11025,0,0,0
11099,0,0,0
11536,0,0,6
