,population,zipcode,geo_id
274296,39506,13021,8600000US13021
274841,1484,12463,8600000US12463
275167,14016,11004,8600000US11004
275644,2540,14724,8600000US14724
275666,4629,13452,8600000US13452
275772,1507,12060,8600000US12060
276122,253,12769,8600000US12769
276192,9918,12571,8600000US12571
276780,8195,10595,8600000US10595
276796,417,12436,8600000US12436
277226,826,13454,8600000US13454
279327,20631,10990,8600000US10990
279633,1711,13618,8600000US13618
280937,6753,14886,8600000US14886
281815,867,12734,8600000US12734
281984,24962,10310,8600000US10310
282610,8690,11565,8600000US11565
282666,62543,11706,8600000US11706
282975,110,12490,8600000US12490
283059,15363,13219,8600000US13219
285304,1748,12935,8600000US12935
285567,836,12032,8600000US12032
286394,5229,10018,8600000US10018
287333,3255,11978,8600000US11978
289580,3037,12919,8600000US12919
289636,1732,14477,8600000US14477
289845,239,14707,8600000US14707
292036,2219,14033,8600000US14033
292201,5172,12522,8600000US12522
292692,2890,12072,8600000US12072
294932,35177,11722,8600000US11722
295459,36,12864,8600000US12864
296743,2258,10976,8600000US10976
298022,3345,11749,8600000US11749
298592,17813,14468,8600000US14468
299169,205,13806,8600000US13806
299488,14498,11702,8600000US11702
299746,2253,12981,8600000US12981
300322,1783,14743,8600000US14743
300327,2854,12567,8600000US12567
300998,1572,12937,8600000US12937
301693,33336,11231,8600000US11231
302750,30574,11572,8600000US11572
304072,51128,11201,8600000US11201
304085,26646,11570,8600000US11570
305743,1833,12516,8600000US12516
306061,6844,11933,8600000US11933
307066,349,11956,8600000US11956
307159,0,11424,8600000US11424
307874,4603,11942,8600000US11942
308201,851,10505,8600000US10505
308624,13393,11239,8600000US11239
309507,31,12024,8600000US12024
309659,16272,11575,8600000US11575
309765,23552,14207,8600000US14207
309906,243,13639,8600000US13639
311275,18775,14760,8600000US14760
312313,86547,10456,8600000US10456
313965,727,13777,8600000US13777
316541,13588,12839,8600000US12839
316977,67053,11233,8600000US11233
319212,443,13314,8600000US13314
319876,120,14585,8600000US14585
320007,28647,10598,8600000US10598
320826,18763,13903,8600000US13903
321919,9579,13904,8600000US13904
322069,4354,13811,8600000US13811
322637,141,10545,8600000US10545
323100,1395,12504,8600000US12504
323389,3342,13167,8600000US13167
324020,8598,14472,8600000US14472
324051,6177,13902,8600000US13902
324668,3969,14042,8600000US14042
325350,1753,12977,8600000US12977
326359,5116,10576,8600000US10576
328356,2268,12094,8600000US12094
330145,40827,10801,8600000US10801
330386,80018,11229,8600000US11229
330699,163,14788,8600000US14788
332461,1916,12121,8600000US12121
333226,9,11973,8600000US11973
333489,0,11371,8600000US11371
333780,271,12042,8600000US12042
333895,1445,12058,8600000US12058
334584,5289,10516,8600000US10516
335310,6218,14132,8600000US14132
335717,17208,10580,8600000US10580
336694,7567,12803,8600000US12803
336834,12337,11577,8600000US11577
336996,34981,11378,8600000US11378
337249,526,12998,8600000US12998
337380,680,12482,8600000US12482
338739,19507,10509,8600000US10509
339271,3975,13803,8600000US13803
341246,33969,10035,8600000US10035
341773,287,13113,8600000US13113
343381,4426,14750,8600000US14750
343805,1378,14869,8600000US14869
344345,1751,14013,8600000US14013
344509,2842,10984,8600000US10984
344799,1054,12751,8600000US12751
346327,24465,14213,8600000US14213
346936,19341,11415,8600000US11415
347037,2028,12928,8600000US12928
348182,3152,10974,8600000US10974
348890,4056,11796,8600000US11796
349797,6460,13316,8600000US13316
351301,91,13641,8600000US13641
351382,1988,12455,8600000US12455
351540,4763,12545,8600000US12545
352017,1079,13319,8600000US13319
352055,3342,14712,8600000US14712
352377,51,13441,8600000US13441
353687,2451,12583,8600000US12583
354022,1666,12093,8600000US12093
355275,2761,14521,8600000US14521
356356,5040,14067,8600000US14067
356640,8189,14892,8600000US14892
356955,34133,11102,8600000US11102
357015,3651,14738,8600000US14738
357821,30425,11422,8600000US11422
359276,38615,11369,8600000US11369
359982,98,13301,8600000US13301
360498,1045,13780,8600000US13780
361395,1166,14753,8600000US14753
361682,314,14742,8600000US14742
363037,2398,14879,8600000US14879
363559,81410,10002,8600000US10002
364599,1595,14478,8600000US14478
364709,40113,11580,8600000US11580
365263,236,13404,8600000US13404
365592,168,13087,8600000US13087
366128,1926,13145,8600000US13145
366147,41047,11367,8600000US11367
367552,9293,10989,8600000US10989
368859,1076,13322,8600000US13322
369764,0,10152,8600000US10152
370433,1591,14129,8600000US14129
371466,211,13678,8600000US13678
376053,42252,11365,8600000US11365
377325,6735,13077,8600000US13077
377376,2269,14806,8600000US14806
377385,2818,12154,8600000US12154
377411,2149,13324,8600000US13324
377413,27606,13210,8600000US13210
378562,59,12438,8600000US12438
379500,1259,12956,8600000US12956
380422,61347,10009,8600000US10009
383223,19168,11428,8600000US11428
383263,11581,14519,8600000US14519
383300,2620,12183,8600000US12183
383772,2725,13424,8600000US13424
384123,7895,11789,8600000US11789
384776,0,10167,8600000US10167
385015,354,12475,8600000US12475
386357,15524,11780,8600000US11780
386425,65,12922,8600000US12922
386627,6988,11363,8600000US11363
389001,8897,13037,8600000US13037
390094,13976,14513,8600000US14513
390509,3641,13491,8600000US13491
393241,19664,12047,8600000US12047
394024,1356,12481,8600000US12481
