Address ZIP,count1,count5,count15
10535,0,0,0
10536,0,0,0
10537,0,0,0
10538,0,0,0
10540,0,0,0
10541,0,0,0
10542,0,0,0
10543,0,0,0
10546,0,0,0
10547,0,0,0
10548,0,0,0
10549,0,0,0
10550,0,0,6
10551,0,0,8
10552,0,0,4
10553,0,0,7
10560,0,0,0
10562,0,0,0
10566,0,0,0
10567,0,0,0
10570,0,0,0
10573,0,0,0
10576,0,0,0
10577,0,0,0
10579,0,0,0
10580,0,0,0
10583,0,0,0
10587,0,0,0
10588,0,0,0
10589,0,0,0
10590,0,0,0
10591,0,0,0
10594,0,0,0
10595,0,0,0
10596,0,0,0
10598,0,0,0
10601,0,0,0
10602,0,0,0
10603,0,0,0
10604,0,0,0
10605,0,0,0
10606,0,0,0
10607,0,0,0
10701,0,0,8
10702,0,0,7
10703,0,0,6
10704,0,0,13
10705,0,4,23
10706,0,0,0
10707,0,0,0
10708,0,0,0
10709,0,0,0
10710,0,0,0
10725,0,0,0
10801,0,0,0
10802,0,0,0
10803,0,0,10
10804,0,0,0
10805,0,0,1
10901,0,0,0
10913,0,0,0
10914,0,0,0
10916,0,0,0
10917,0,0,0
10918,0,0,0
10920,0,0,0
10921,0,0,0
10922,0,0,0
10923,0,0,0
10924,0,0,0
10925,0,0,0
10926,0,0,0
10928,0,0,0
10930,0,0,0
10940,0,0,0
10941,0,0,0
10949,0,0,0
10950,0,0,0
10952,0,0,0
10954,0,0,0
10956,0,0,0
10958,0,0,0
10960,0,0,0
10962,0,0,0
10963,0,0,0
10964,0,0,0
10965,0,0,0
10968,0,0,0
10969,0,0,0
10970,0,0,0
10974,0,0,0
10976,0,0,0
10977,0,0,0
10980,0,0,0
10983,0,0,0
10984,0,0,0
10986,0,0,0
10987,0,0,0
10989,0,0,0
10990,0,0,0
10992,0,0,0
10993,0,0,0
10994,0,0,0
11001,0,0,0
11002,0,0,0
11003,0,0,0
11004,0,0,0
11005,0,0,0
11010,0,0,0
11020,0,0,0
11021,0,0,8
11022,0,0,0
11023,0,0,0
11024,0,0,0
11030,0,0,0
11040,0,0,0
11042,0,0,0
11050,0,0,0
11096,0,0,0
11101,1,5,18
11102,0,0,8
11103,0,0,16
11104,0,3,13
11105,0,0,9
11106,0,2,12
11109,0,0,29
11201,4,26,102
11202,0,7,36
11203,0,5,32
11204,0,0,0
11205,2,11,85
11206,1,8,50
11207,0,0,0
11208,0,0,0
11209,0,0,10
11210,1,5,15
11211,1,9,50
11212,0,0,0
11213,0,9,45
11214,0,0,0
11215,0,0,0
11216,1,10,61
11217,0,1,63
11218,0,0,1
11219,0,0,0
11220,0,0,6
11221,0,5,25
11222,0,5,34
11223,0,0,0
11224,0,0,0
11225,2,11,42
11226,0,2,22
11228,0,0,3
11229,0,0,0
11230,0,0,2
11231,0,1,11
11232,0,0,0
11233,0,0,16
11234,0,0,0
11235,0,0,0
11236,0,0,0
11237,0,2,18
11238,0,13,63
11239,0,0,0
11241,0,3,29
11242,0,1,26
11247,0,0,17
11249,0,0,14
11252,0,0,9
11350,0,0,0
11352,0,0,18
11354,0,0,14
11355,0,13,64
11356,0,0,1
11357,0,0,0
11358,0,2,48
11359,0,0,4
11360,0,0,14
11361,0,4,28
11362,0,2,12
11363,0,3,13
11364,1,5,29
11365,1,8,65
11366,1,9,63
11367,3,17,71
11368,0,5,41
11369,0,4,14
11370,1,5,15
11371,0,3,13
11372,0,2,13
11373,0,1,16
11374,0,4,15
11375,1,14,54
11377,0,0,10
11378,0,0,0
11379,0,0,6
11385,0,0,0
11386,0,0,0
11410,0,0,0
11411,0,0,0
11412,0,0,0
11413,0,0,0
11414,0,0,0
11415,0,5,51
11416,0,0,3
11417,0,0,2
11418,0,0,8
11419,0,0,10
11420,0,0,3
11421,0,0,7
11422,0,0,0
11423,0,0,14
11426,0,0,6
11427,0,1,14
11428,0,0,7
11429,0,0,0
11430,0,0,0
11431,0,0,8
11432,0,9,54
11433,0,6,33
11434,0,0,7
11435,0,3,38
11436,0,1,11
11501,0,0,0
11507,0,0,0
11509,0,0,0
11510,0,0,0
11514,0,0,0
11516,0,0,0
11518,0,0,0
11520,0,0,0
11530,0,0,0
11542,0,0,0
11545,0,0,0
11547,0,0,0
11548,0,0,0
11550,0,0,0
11551,0,0,0
11552,0,0,0
11553,0,0,0
11554,0,0,0
11556,0,0,0
11557,0,0,0
11558,0,0,0
11559,0,0,0
11560,0,0,0
11561,0,0,0
11563,0,0,0
11565,0,0,0
11566,0,0,0
11568,0,0,0
11570,0,0,0
11572,0,0,0
11575,0,0,0
11576,0,0,0
11577,0,0,0
11579,0,0,0
11580,0,0,0
11581,0,0,0
11582,0,0,0
11590,0,0,0
11596,0,0,0
11598,0,0,0
11691,0,0,0
11692,0,0,0
11693,0,0,0
11694,0,0,0
11697,0,0,0
11701,0,0,0
11702,0,0,0
11703,0,0,0
11704,0,0,0
11705,0,0,0
11706,0,0,0
11709,0,0,0
11710,0,0,0
11713,0,0,0
11714,0,0,0
11715,0,0,0
11716,0,0,0
11717,0,0,0
11718,0,0,0
